ts_code,name,industry,score,p_rebound,pred_ret,rule_score,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio
688361.SH,中科飞测,半导体,0.8177232081278829,0.6747062381786145,0.024068178040477357,56.78271714317993,-7.0173,-0.13673356342409138,-0.2076342445930619,-0.21757936201436623,5.0,5,-6.635944700460827,7.49001789893983,2769115.251,0.0011020776397435686
300571.SZ,平治信息,互联网,0.7938418572559545,0.5769931857496591,0.019743004184443986,77.56354250724874,-3.0723,-0.09049049049049052,-0.26961414790996785,-0.2880426265475631,5.0,6,-1.3249348392701976,4.651162790697675,510961.89649,-0.0052071201752557
688691.SH,灿芯股份,半导体,0.7773471856929958,0.567379571305933,0.015365584082333914,66.9370102211368,-7.2779,-0.1543103448275862,-0.262406015037594,-0.23633815973844008,4.0,2,-7.878674053901779,9.281663516068047,767103.022,-0.0015626323526594047
301312.SZ,智立方,专用机械,0.7441529698890785,0.6517694282590265,0.02430595456175271,45.175899275540445,-6.7925,-0.13565204548811105,-0.21442953020134226,-0.05749255173524437,5.0,5,-6.874055215212027,9.643255295429219,563144.63624,-0.010410149760356688
002149.SZ,西部材料,小金属,0.7264856994028784,0.5159547832561168,0.022256390998388963,52.27941553087594,-5.6777,-0.13643292682926822,-0.19048299514146905,-0.18005500072369385,3.0,2,-3.9830508474576254,7.5424575424575435,2338400.92517,-0.0059618262420018855
300782.SZ,卓胜微,半导体,0.7264591023003184,0.5079898870522388,0.03600333208838931,52.44031440389818,-7.1693,-0.14208771479866633,-0.1856029865281611,-0.22807692307692307,4.0,2,-8.681408681408687,9.962997224791856,2521329.64588,-0.007188508662330862
301018.SZ,申菱环境,专用机械,0.7240403416604144,0.5086177173640778,0.020324436513949284,52.588821679414025,-7.2366,-0.12563309873051365,-0.2053918345388247,-0.18557774782502134,4.0,2,-7.693910145128802,9.09281228192603,1480433.3196,-0.013964181788063012
300136.SZ,信维通信,元器件,0.7223679036303565,0.48400669967764753,0.019932510826500237,55.547582925630515,-7.2174,-0.1826218967672799,-0.22844137233414818,-0.1856761565836299,3.0,2,-5.53204665084116,7.268119614799784,9185092.23919,-0.012978310603281694
000967.SZ,盈峰环境,环境保护,0.7196595987194644,0.4910955936847688,0.014996817798968658,56.277624179745295,-2.7128,-0.051959890610756676,-0.1950464396284829,-0.2048929663608563,4.0,2,-2.2556390977443663,5.425631431244154,994061.8486,-0.011086131125060851
002865.SZ,钧达股份,电气设备,0.717092203910833,0.483756159142586,0.010622287938374537,62.54631105060378,-2.5698,-0.12352597781669594,-0.2072861668426611,-0.24064333400768767,5.0,6,-2.5064935064935123,6.709928617780664,940932.47866,-0.008332850845116977
688019.SH,安集科技,半导体,0.7158302728318227,0.5373258306626081,0.012391318500211083,52.064190548943785,-5.7102,-0.14344157504474553,-0.18595468076058574,-0.17243083003952564,4.0,4,-6.509453708225776,7.420047144917858,1783362.835,-0.0010591955618498706
688041.SH,海光信息,半导体,0.7141188796831693,0.6521359498811548,0.02422635324202509,40.901437899457285,-6.3083,-0.1307806433283879,-0.16476583353554963,-0.13064342994253964,4.0,4,-8.142909563999057,8.570942497448112,11530629.182,-0.00394326617241137
300346.SZ,南大光电,半导体,0.7135719442332544,0.5137978100042302,0.01361844054827239,53.50597648332364,-4.3267,-0.12290999644254708,-0.191639344262295,-0.17789263087695895,4.0,2,-4.437984496124026,6.441598758246022,2168781.42249,-0.010257977023086836
300903.SZ,科翔股份,元器件,0.7134330005541691,0.5295075388996092,0.016957069627430776,49.245321392982326,-5.5753,-0.10441334768568344,-0.1967173545739802,-0.11324273914201977,4.0,2,-7.747747747747747,9.51908072066959,1853732.34428,-0.011610780847846587
300842.SZ,帝科股份,电气设备,0.7074582471607784,0.5445359427053105,0.014038443624904796,48.72917264037706,-4.0793,-0.13604870879697673,-0.1823961851778263,-0.1389412010880937,4.0,2,-5.964351005484458,7.564102564102558,631491.64204,-0.008718389339587263
000988.SZ,华工科技,专用机械,0.7066608086717585,0.5820492064010248,0.017546470253115343,44.96855565198308,-5.8254,-0.1051413560170128,-0.16790740956147499,-0.124525761840656,4.0,2,-7.637185280826342,8.122696155871495,12563483.2696,-0.008419508167448514
300567.SZ,精测电子,电器仪表,0.6993625838553144,0.5921149728590525,0.021503926097116863,42.815543308458686,-5.1339,-0.1218361218361218,-0.17919358431721988,-0.07226306778124691,4.0,2,-6.177429211652075,10.504634397528324,2372394.42176,-0.010173645570323998
002792.SZ,通宇通讯,通信设备,0.696751290898887,0.47802747671804113,0.016171906047666124,51.50952293965599,-6.0417,-0.13811304156586768,-0.19028925619834713,-0.20603727714748787,4.0,2,-3.7100737100737247,5.010788779669135,1138591.33971,-0.012762673922762459
688503.SH,聚和材料,电气设备,0.6862036596166001,0.38016794681658655,0.013252301237763947,67.2640974435565,-4.2702,-0.1341871921182266,-0.23208668297797974,-0.24371772805507752,5.0,5,-3.492202943114442,6.220043572984759,1069426.421,-0.004461868443027739
688596.SH,正帆科技,专用机械,0.6846442713840131,0.45569863968169133,0.014631186222607437,51.97613674392567,-6.0651,-0.07613967022308443,-0.17710583153347725,-0.24118701453893643,4.0,2,-6.457156886815607,7.5443786982248575,525950.178,0.001062952392422233
300260.SZ,新莱应材,机械基件,0.6841725125630166,0.42454145546772176,0.011287581611751056,57.85287375042388,-3.5384,-0.04924640729057139,-0.2015013246982631,-0.2101048340128131,4.0,2,-3.125,5.654338549075391,685302.88984,-0.012875708144263186
603667.SH,五洲新春,机械基件,0.6837728538116092,0.41355685867222164,0.014435130798117243,56.41456135682605,-4.7798,-0.12453555413196671,-0.21531924666972901,-0.14587499999999998,5.0,6,-4.753275717870087,5.936454849498334,1826054.418,-0.0064515218625866766
688123.SH,聚辰股份,半导体,0.6827663988392988,0.4178240968165062,0.015601099459154829,54.992991274841316,-3.9859,-0.09716427409659856,-0.17828409602883444,-0.22624242424242424,4.0,2,-7.485507246376811,9.89696924118223,1268128.564,0.0012300251285878303
300042.SZ,朗科科技,IT设备,0.6798427912868459,0.4432002698010926,0.008954983874239595,59.32543365485063,-2.5899,-0.06904412962058293,-0.20287228109313993,-0.22544370681479475,4.0,2,-4.285953457224167,5.247912761969668,994508.75694,-0.013536743549068806
688200.SH,华峰测控,半导体,0.6784014183311897,0.44969359982993373,0.0107068134871094,54.8016751297513,-5.2105,-0.07824982288129378,-0.1842162162162162,-0.21066945606694554,4.0,2,-6.88548864758144,8.175057783137378,1452113.089,-0.0054001372616234245
002929.SZ,润建股份,通信设备,0.6781670266787017,0.43030613460108486,0.009344240098548232,59.63671712136828,-3.6885,-0.09394679347127621,-0.20964125560538116,-0.19886363636363635,5.0,5,-1.8242584598245348,7.103825136612025,1672094.86558,-0.003899898345622901
688516.SH,奥特维,专用机械,0.6730814938694843,0.41411634627679295,0.009942981702628298,58.03634909336317,-4.3107,-0.1417246175243394,-0.18437747819191108,-0.23578947368421055,5.0,6,-5.338242061665898,6.1870057373236085,726527.289,-0.0073774379588376245
603650.SH,彤程新材,化工原料,0.6727416617332698,0.46670533113112667,0.010208231664623625,52.020968513755456,-2.4722,-0.08929849677881174,-0.17760180995475117,-0.1906806615776082,4.0,2,-2.153432032301472,4.101188194710619,511566.565,-0.0009051021542035261
300475.SZ,香农芯创,元器件,0.6699135058083399,0.5148044337520183,0.022834677160651972,43.228265518379345,-7.2186,-0.13299086757990863,-0.1831736409855299,-0.10359442060085833,5.0,5,-7.4191046099290725,8.440224332278298,5202801.35347,-0.015271753542350216
688518.SH,联赢激光,专用机械,0.6652042749614677,0.45785507018099564,0.009600544512912227,52.21964774955971,-5.7122,-0.1504885993485342,-0.19926312557568315,-0.14463758609380128,4.0,3,-5.16363636363637,7.230657989877079,541184.695,-0.00936087078367948
603316.SH,诚邦股份,建筑工程,0.6643308745686007,0.4191209769591989,0.016466697068036995,50.025549206499285,-2.5046,0.007670182166826578,-0.18400621118012428,-0.15139281388776749,4.0,1,-3.6221916552040323,7.235621521335801,1088108.432,-0.0034969584722416673
688449.SH,联芸科技,半导体,0.6625084356848612,0.4722085471035275,0.016387123039293187,45.94913080665016,-6.6183,-0.09355003839262865,-0.16177514792899406,-0.20056433408577878,4.0,2,-6.173003046761161,8.292682926829277,1095642.788,-0.007771273715535099
688387.SH,信科移动-U,通信设备,0.6614555708226156,0.3779030624614077,0.01544092962338032,54.10250603843825,-5.3903,-0.1269296740994854,-0.1829855537720707,-0.20468750000000002,4.0,2,-4.443053817271592,5.328376703841385,1146730.565,-0.004946820267235135
300751.SZ,迈为股份,专用机械,0.65240350298043,0.46943881867409515,0.00918269761420159,49.058116832553715,-2.8759,-0.10076024476172818,-0.18693625725111496,-0.11742010628230337,5.0,5,-1.430894308943098,7.710486261315388,2384069.63769,0.00799101238437785
301095.SZ,广立微,半导体,0.6514332590376049,0.33849851621577604,0.011738018523724632,59.38520817813853,-4.3953,-0.11027070063694266,-0.20335056139725538,-0.2251690067602703,4.0,2,-5.7955742887249695,6.886963961073679,783315.04662,-0.015706707094531955
002025.SZ,航天电器,元器件,0.6511952053114605,0.39904407778195466,0.010450034831709181,53.88240876907237,-5.7252,-0.11613181752770174,-0.1992177314211213,-0.16560249966037222,4.0,2,-5.739717618170648,7.168073676132006,1153005.72105,-0.012491429779623286
300077.SZ,国民技术,半导体,0.649155886432456,0.4756926287048889,0.00972906281937636,47.05244801798793,-1.3931,-0.09291149379255104,-0.14431431809595774,-0.18846291651737734,5.0,5,-4.025423728813571,7.226817588158468,935073.77611,-0.0005812803373239488
688025.SH,杰普特,专用机械,0.646842174645088,0.5192261277940055,0.01677058775001324,40.90962160242011,-4.8302,-0.12362559241706161,-0.16822976407349932,-0.08796547472256477,3.0,2,-6.69576405883392,9.513638703036548,1730378.664,-0.004486954307476369
300604.SZ,长川科技,半导体,0.6460459271858281,0.4459652695510142,0.008821301457635627,50.75759427140408,-3.392,-0.07520435967302452,-0.17887096774193556,-0.15697963238946855,5.0,5,-2.564593301435414,7.291617249395135,5576107.03093,0.001224743349099776
688147.SH,微导纳米,专用机械,0.6420510353738538,0.4344276271917852,0.00993113220835378,48.777274299660085,-2.9851,-0.027431421446384108,-0.14754098360655743,-0.21773142112125154,4.0,1,-3.715590667818791,10.19900497512438,1109152.574,0.000691780389809563
600343.SH,航天动力,机械基件,0.6393120347604005,0.3464716404504651,0.008368133716231367,62.6371116552177,-1.6444,-0.0837192732454578,-0.2168087697929355,-0.23520666071959573,4.0,2,-1.6443594646271542,3.4034416826003846,539073.328,-0.00249988253917099
