tag,features,samples,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days,train_start,kind,feature_set
rescue_2025_rank_alpha,54,29603,0.046849386472845166,-0.01339679156806084,3.6181794605561364,0.5824606634733444,6,101.8939615742551,14.736434193487211,8.335344149074462,-0.021230006963507964,5,2025-01-01,rank,alpha
rescue_2026_huber_selected,42,29603,0.012143979173029201,0.0018742245512095208,2.9011292959424795,0.42222966346340884,6,4.394811667985666,13.211969289431199,7.282364696910306,-0.024818742458373122,5,2026-01-01,huber,selected
rescue_2025_rank_base_plus_alpha,70,29603,0.06438465911920326,-0.0013570304768516321,8.133191457272115,0.6016440500323391,6,156.241377855288,5.1346359090516875,4.251058676240942,-0.03542026291260825,5,2025-01-01,rank,base_plus_alpha
rescue_2025_huber_alpha,54,29603,-0.0030635124862148423,-0.02755888328757354,-1.22889980410963,0.3960644691596856,6,10.524979037814276,-0.3228121538489137,-0.9714633146783886,-0.045223157075063525,5,2025-01-01,huber,alpha
rescue_2025_rank_selected,80,29603,0.02563747511803797,-0.007233536787862145,3.5251949557151945,0.5980033482766635,6,64.41577384830802,-0.5279827109593067,-1.764821581357257,-0.05627853326229049,5,2025-01-01,rank,selected
rescue_2025_huber_base_plus_alpha,70,29603,-0.02627570839611344,-0.02844191890122456,-6.344438864022863,0.3960644691596856,6,-49.031115307277354,-0.36245364987418816,-2.379796568992141,-0.022256156699623886,5,2025-01-01,huber,base_plus_alpha
rescue_2025_huber_selected,80,29603,-0.021861111113482472,-0.01601231765837653,-6.710114047870266,0.3960644691596856,6,11.879262825156625,-0.6507053451312548,-4.643581066019341,-0.03984444696023859,5,2025-01-01,huber,selected
rescue_2026_rank_selected,42,29603,0.02491851995469711,-0.002558856103883058,2.4537686081000465,0.5121134983656167,6,70.2323313894774,-0.3785544281569284,-18.272203569696728,-0.00902924775071745,5,2026-01-01,rank,selected
rescue_2026_huber_base_plus_alpha,56,29603,-0.004500361958289183,-0.0285388721709697,-1.0445602748690477,0.429310354747473,6,-60.0951532675371,-0.9717265590449703,-21.127608979937285,-0.06186798071368216,5,2026-01-01,huber,base_plus_alpha
rescue_2026_rank_base_plus_alpha,56,29603,0.06643369787693527,0.021802185309897772,24.192923837173904,0.6008175274062785,6,154.45413207740035,-0.7342016821220432,-25.576121648786838,-0.016808962636503333,5,2026-01-01,rank,base_plus_alpha
