ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,ret_0601,gap_0601,intraday_0601,amp_0601,amount_0601,rebound_score
301236.SZ,软通动力,软件服务,-6.3227,-0.140702210663199,-0.14293125810635532,-0.19512789281364185,4.0,4,20.0061,3.964891041162244,15.42940320232895,16.162227602905556,1447335.04064,46.87133257392712
688365.SH,光云科技,软件服务,-2.897,-0.0582726326742975,-0.10039761431411531,-0.19769503546099276,4.0,1,17.9558,0.16574585635358297,17.76061776061777,19.944751381215465,848700.811,41.29266259800272
300792.SZ,壹网壹创,互联网,-2.3248,-0.06265281173594128,-0.13312605992085924,-0.20005216484089727,5.0,8,16.27,1.6954678839256498,14.331516511702457,19.856537332898586,706651.26874,43.65688544635434
688031.SH,星环科技-U,软件服务,1.0199,-0.046578024308671195,-0.12245664088895569,-0.06757080175508579,3.0,0,15.717,4.380561259411375,10.860655737704917,15.622861054072546,2639253.94,34.19872477552714
300378.SZ,鼎捷数智,软件服务,-3.8504,-0.08545454545454545,-0.1312607944732297,-0.18249361504527517,5.0,5,14.7117,2.2436807725078056,12.194444444444441,16.642999147969327,1213338.12151,41.117877559009784
688107.SH,安路科技,半导体,-9.292,-0.12654452492543666,-0.1233696814197135,-0.10636442894507414,4.0,4,12.6098,-0.34146341463414664,12.995594713656388,21.09756097560977,1439192.715,37.38999912719381
301228.SZ,实朴检测,电器仪表,-6.3995,-0.054666263968589535,-0.07914092380111803,-0.05423780027194436,4.0,1,12.5399,0.7188498402555865,11.73671689135607,13.482428115015981,510975.38966,31.397189301812197
688707.SH,振华新材,电气设备,-4.8684,-0.05242463958060284,-0.12204007285974483,-0.08306911857958144,4.0,1,12.3098,3.042876901798053,8.99328859060402,17.219917012448146,887564.948,34.98929303847139
300483.SZ,首华燃气,石油开采,0.2701,-0.0663983903420523,-0.16094032549728765,-0.16546762589928055,3.0,0,12.069,-0.6465517241379226,12.798264642082424,14.33189655172414,646063.17651,39.86717138071574
002279.SZ,久其软件,软件服务,-2.3495,-0.04040404040404033,-0.06205923836389271,-0.14082687338501287,4.0,1,10.0752,1.0526315789473495,8.928571428571441,9.323308270676693,503439.57487,25.97155431795285
600596.SH,新安股份,化工原料,-3.754,-0.07804131599081865,-0.09125188536953233,0.008368200836820217,5.0,5,10.0415,0.24896265560165887,9.76821192052979,9.875518672199165,759232.447,31.36753220460877
603341.SH,龙旗科技,通信设备,-6.6125,-0.07489932885906037,-0.0847277556440903,-0.11322696860524961,3.0,1,10.0116,3.2501450957632017,6.548622821809991,6.761462565293089,510267.243,25.950922088195835
002580.SZ,圣阳股份,电气设备,3.5394,0.04116638078902235,-0.0690184049079754,-0.11709090909090902,3.0,0,10.0082,0.12355848434923988,9.87248046071576,9.8846787479407,1445251.13212,25.72500881931493
