ts_code,name,industry,score,p_rebound,pred_ret,rule_score,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio
688691.SH,灿芯股份,半导体,0.8056468797481631,0.6037149116592838,0.03025145558949364,66.9370102211368,-7.2779,-0.1543103448275862,-0.262406015037594,-0.23633815973844008,4.0,2,-7.878674053901779,9.281663516068047,767103.022,-0.0015626323526594047
300136.SZ,信维通信,元器件,0.7265941805708995,0.5300666734067507,0.011942463902235939,55.547582925630515,-7.2174,-0.1826218967672799,-0.22844137233414818,-0.1856761565836299,3.0,2,-5.53204665084116,7.268119614799784,9185092.23919,-0.012978310603281694
000988.SZ,华工科技,专用机械,0.7223750643935883,0.6542702330248475,0.010683066157069697,44.96855565198308,-5.8254,-0.1051413560170128,-0.16790740956147499,-0.124525761840656,4.0,2,-7.637185280826342,8.122696155871495,12563483.2696,-0.008419508167448514
300571.SZ,平治信息,互联网,0.7213011424901716,0.44676994414907345,0.012908149701379965,77.56354250724874,-3.0723,-0.09049049049049052,-0.26961414790996785,-0.2880426265475631,5.0,6,-1.3249348392701976,4.651162790697675,510961.89649,-0.0052071201752557
002149.SZ,西部材料,小金属,0.7176653812770775,0.5033083990536888,0.01939823313705774,52.27941553087594,-5.6777,-0.13643292682926822,-0.19048299514146905,-0.18005500072369385,3.0,2,-3.9830508474576254,7.5424575424575435,2338400.92517,-0.0059618262420018855
002792.SZ,通宇通讯,通信设备,0.6965688126812781,0.458023423653464,0.025767812041641115,51.50952293965599,-6.0417,-0.13811304156586768,-0.19028925619834713,-0.20603727714748787,4.0,2,-3.7100737100737247,5.010788779669135,1138591.33971,-0.012762673922762459
688361.SH,中科飞测,半导体,0.69448866469686,0.41981803197659445,0.0165764807562022,56.78271714317993,-7.0173,-0.13673356342409138,-0.2076342445930619,-0.21757936201436623,5.0,5,-6.635944700460827,7.49001789893983,2769115.251,0.0011020776397435686
300475.SZ,香农芯创,元器件,0.693849857312417,0.5705251706174085,0.023157538072179653,43.228265518379345,-7.2186,-0.13299086757990863,-0.1831736409855299,-0.10359442060085833,5.0,5,-7.4191046099290725,8.440224332278298,5202801.35347,-0.015271753542350216
603667.SH,五洲新春,机械基件,0.6707920782887766,0.36890541188053094,0.018003346047579607,56.41456135682605,-4.7798,-0.12453555413196671,-0.21531924666972901,-0.14587499999999998,5.0,6,-4.753275717870087,5.936454849498334,1826054.418,-0.0064515218625866766
002865.SZ,钧达股份,电气设备,0.6622071365565908,0.40667633505523926,0.004677040066291039,62.54631105060378,-2.5698,-0.12352597781669594,-0.2072861668426611,-0.24064333400768767,5.0,6,-2.5064935064935123,6.709928617780664,940932.47866,-0.008332850845116977
300903.SZ,科翔股份,元器件,0.6571135141986499,0.46504539599482037,0.007587531652169463,49.245321392982326,-5.5753,-0.10441334768568344,-0.1967173545739802,-0.11324273914201977,4.0,2,-7.747747747747747,9.51908072066959,1853732.34428,-0.011610780847846587
