tag,ic,rank_ic,icir,diracc,n_days,topk10_bp
mlp_mse,0.014029430503585039,0.023446754003447833,4.0142358975956505,0.4995972778714695,300,13.143344590644116
lstm_ic_large,0.09900903685012469,0.08820370599073682,13.281592193160591,0.5000174717972472,300,169.3438885286499
lstm_ic_h384_l2_w20,0.09878590953793527,0.09049559522264747,13.237651914167301,0.5023677508831456,300,173.08476449262045
lstm_ic_h384_l3_w20,0.097952341585295,0.0885056676722495,13.822803251301647,0.5000174717972472,300,145.3177395738021
lstm_ic_h256_l3_w40,0.09229896853562397,0.08330409289609388,13.580817001607956,0.5047903659795526,300,151.9865030032815
transformer_ic_large,0.00457618350305217,0.001230906445807895,2.316111047026872,0.4999825282027527,300,6.968830551159044
transformer_ic_mid,0.020087884091032935,0.014265496973211994,8.969014895111195,0.4999825282027527,300,-22.270298663594684
